Age,Life_expectancy_atAge
0,66.5
1,66.7
2,65.9
3,65.1
4,64.3
5,63.5
6,62.7
7,61.9
8,61.1
9,60.2
10,59.4
11,58.5
12,57.7
13,56.8
14,55.9
15,55.0
16,54.2
17,53.3
18,52.4
19,51.5
20,50.6
21,49.7
22,48.8
23,47.9
24,47.0
25,46.1
26,45.2
27,44.3
28,43.4
29,42.5
30,41.6
31,40.7
32,39.8
33,38.9
34,38.0
35,37.1
36,36.2
37,35.3
38,34.4
39,33.6
40,32.7
41,31.8
42,30.9
43,30.1
44,29.2
45,28.4
46,27.5
47,26.7
48,25.9
49,25.0
50,24.2
51,23.4
52,22.6
53,21.8
54,21.1
55,20.3
56,19.5
57,18.8
58,18.0
59,17.3
60,16.6
61,15.9
62,15.2
63,14.5
64,13.8
65,13.2
66,12.5
67,11.9
68,11.3
69,10.7
70,10.1
71,9.6
72,9.0
73,8.5
74,8.0
75,7.5
76,7.0
77,6.5
78,6.1
79,5.6
80,5.2
81,4.8
82,4.4
83,4.1
84,3.8
85,3.4
86,3.2
87,2.9
88,2.6
89,2.4
90,2.2
91,2.0
92,1.9
93,1.7
94,1.6
95,1.5
96,1.5
97,1.4
98,1.4
99,1.4
100,1.4